record_time,model,dur_train_activity,dur_train_subj,dur_train_both,precision_train,recall_train,accuracy_train,precision_test,recall_test,accuracy_test,method
2016-12-01 12:07,svm_sgd_run_48,0.00,0.00,222.01,0.71,0.64,0.64,0.71,0.64,0.64,both at the same time
2016-12-01 12:11,svm_sgd_run_49,0.00,0.00,222.73,0.71,0.60,0.60,0.71,0.60,0.60,both at the same time
2016-12-01 12:15,svm_sgd_run_50,0.00,0.00,223.31,0.71,0.65,0.65,0.71,0.65,0.65,both at the same time
2016-12-01 12:19,svm_sgd_run_51,0.00,0.00,222.76,0.70,0.62,0.62,0.70,0.62,0.62,both at the same time
2016-12-01 12:23,svm_sgd_run_52,0.00,0.00,236.22,0.68,0.62,0.62,0.69,0.62,0.62,both at the same time
2016-12-01 12:27,svm_sgd_run_53,0.00,0.00,221.68,0.73,0.62,0.62,0.73,0.62,0.62,both at the same time
2016-12-01 12:31,svm_sgd_run_54,0.00,0.00,222.54,0.72,0.62,0.62,0.72,0.62,0.62,both at the same time
2016-12-01 12:34,svm_sgd_run_55,0.00,0.00,221.87,0.73,0.59,0.59,0.72,0.59,0.59,both at the same time
2016-12-01 12:38,svm_sgd_run_56,0.00,0.00,222.02,0.70,0.62,0.62,0.70,0.62,0.62,both at the same time
2016-12-01 12:42,svm_sgd_run_57,0.00,0.00,226.81,0.69,0.63,0.63,0.69,0.63,0.63,both at the same time
2016-12-01 12:46,svm_sgd_run_58,0.00,0.00,222.28,0.73,0.67,0.67,0.73,0.67,0.67,both at the same time
2016-12-01 12:50,svm_sgd_run_59,0.00,0.00,221.95,0.72,0.63,0.63,0.71,0.63,0.63,both at the same time
2016-12-01 12:54,svm_sgd_run_60,0.00,0.00,222.57,0.71,0.63,0.63,0.71,0.63,0.63,both at the same time
2016-12-01 12:58,svm_sgd_run_61,0.00,0.00,223.38,0.70,0.64,0.64,0.70,0.64,0.64,both at the same time
2016-12-01 13:02,svm_sgd_run_62,0.00,0.00,222.50,0.70,0.64,0.64,0.70,0.64,0.64,both at the same time
2016-12-01 13:06,svm_sgd_run_63,0.00,0.00,222.06,0.71,0.59,0.59,0.70,0.59,0.59,both at the same time
2016-12-01 13:10,svm_sgd_run_64,0.00,0.00,234.57,0.68,0.63,0.63,0.68,0.63,0.63,both at the same time
2016-12-01 13:14,svm_sgd_run_65,0.00,0.00,222.29,0.72,0.63,0.63,0.72,0.63,0.63,both at the same time
2016-12-01 13:18,svm_sgd_run_66,0.00,0.00,227.30,0.72,0.64,0.64,0.72,0.64,0.64,both at the same time
2016-12-01 13:22,svm_sgd_run_67,0.00,0.00,251.66,0.75,0.64,0.64,0.75,0.64,0.64,both at the same time
2016-12-01 13:27,svm_sgd_run_68,0.00,0.00,248.98,0.74,0.62,0.62,0.74,0.62,0.62,both at the same time
2016-12-01 13:31,svm_sgd_run_69,0.00,0.00,223.16,0.71,0.64,0.64,0.71,0.64,0.64,both at the same time
2016-12-01 13:35,svm_sgd_run_70,0.00,0.00,249.12,0.69,0.62,0.62,0.69,0.62,0.62,both at the same time
2016-12-01 13:41,svm_sgd_run_71,0.00,0.00,321.70,0.69,0.64,0.64,0.69,0.64,0.64,both at the same time
2016-12-01 13:46,svm_sgd_run_72,0.00,0.00,300.16,0.73,0.62,0.62,0.73,0.62,0.62,both at the same time
2016-12-01 13:51,svm_sgd_run_73,0.00,0.00,249.26,0.70,0.62,0.62,0.71,0.62,0.62,both at the same time
2016-12-01 13:55,svm_sgd_run_74,0.00,0.00,261.69,0.72,0.67,0.67,0.73,0.67,0.67,both at the same time
2016-12-01 14:00,svm_sgd_run_75,0.00,0.00,251.30,0.73,0.65,0.65,0.71,0.64,0.64,both at the same time
2016-12-01 14:04,svm_sgd_run_76,0.00,0.00,249.64,0.73,0.66,0.66,0.73,0.66,0.66,both at the same time
2016-12-01 14:08,svm_sgd_run_77,0.00,0.00,240.06,0.71,0.64,0.64,0.71,0.64,0.64,both at the same time
2016-12-01 14:13,svm_sgd_run_78,0.00,0.00,239.61,0.72,0.65,0.65,0.71,0.65,0.65,both at the same time
2016-12-01 14:17,svm_sgd_run_79,0.00,0.00,240.55,0.73,0.63,0.63,0.72,0.63,0.63,both at the same time
2016-12-01 14:21,svm_sgd_run_80,0.00,0.00,253.98,0.70,0.63,0.63,0.69,0.63,0.63,both at the same time
2016-12-01 14:26,svm_sgd_run_81,0.00,0.00,261.98,0.74,0.64,0.64,0.74,0.64,0.64,both at the same time
2016-12-01 14:31,svm_sgd_run_82,0.00,0.00,272.42,0.74,0.62,0.62,0.74,0.62,0.62,both at the same time
2016-12-01 14:35,svm_sgd_run_83,0.00,0.00,257.40,0.71,0.65,0.65,0.70,0.65,0.65,both at the same time
2016-12-01 14:40,svm_sgd_run_84,0.00,0.00,262.32,0.70,0.62,0.62,0.70,0.62,0.62,both at the same time
2016-12-01 14:44,svm_sgd_run_85,0.00,0.00,252.26,0.70,0.64,0.64,0.69,0.64,0.64,both at the same time
2016-12-01 14:49,svm_sgd_run_86,0.00,0.00,261.14,0.72,0.65,0.65,0.73,0.65,0.65,both at the same time
2016-12-01 14:54,svm_sgd_run_87,0.00,0.00,262.04,0.69,0.61,0.61,0.69,0.61,0.61,both at the same time
2016-12-01 14:58,svm_sgd_run_88,0.00,0.00,259.62,0.70,0.61,0.61,0.70,0.61,0.61,both at the same time
2016-12-01 15:03,svm_sgd_run_89,0.00,0.00,255.98,0.74,0.66,0.66,0.74,0.66,0.66,both at the same time
2016-12-01 15:07,svm_sgd_run_90,0.00,0.00,254.54,0.71,0.65,0.65,0.71,0.65,0.65,both at the same time
2016-12-01 15:12,svm_sgd_run_91,0.00,0.00,248.83,0.73,0.63,0.63,0.73,0.63,0.63,both at the same time
2016-12-01 15:16,svm_sgd_run_92,0.00,0.00,260.23,0.72,0.62,0.62,0.71,0.62,0.62,both at the same time
2016-12-01 15:21,svm_sgd_run_93,0.00,0.00,260.19,0.72,0.64,0.64,0.72,0.64,0.64,both at the same time
2016-12-01 15:25,svm_sgd_run_94,0.00,0.00,237.76,0.70,0.65,0.65,0.70,0.65,0.65,both at the same time
2016-12-01 15:29,svm_sgd_run_95,0.00,0.00,222.76,0.72,0.60,0.60,0.72,0.60,0.60,both at the same time
2016-12-01 15:34,svm_sgd_run_96,0.00,0.00,269.10,0.71,0.62,0.62,0.71,0.62,0.62,both at the same time
2016-12-01 15:38,svm_sgd_run_97,0.00,0.00,252.10,0.72,0.67,0.67,0.72,0.67,0.67,both at the same time
2016-12-01 15:43,svm_sgd_run_98,0.00,0.00,250.44,0.71,0.64,0.64,0.71,0.64,0.64,both at the same time
2016-12-01 15:47,svm_sgd_run_99,0.00,0.00,250.60,0.72,0.60,0.60,0.72,0.60,0.60,both at the same time
2016-12-01 15:53,svm_sgd_run_100,0.00,0.00,294.84,0.70,0.62,0.62,0.71,0.62,0.62,both at the same time
