record_time,model,dur_train_activity,dur_train_subj,dur_train_both,precision_train,recall_train,accuracy_train,precision_test,recall_test,accuracy_test,method
2016-12-01 15:09,svm_gridsearch_run_43,0.00,0.00,618.47,0.73,0.67,0.67,0.73,0.67,0.67,both at the same time
2016-12-01 15:20,svm_gridsearch_run_44,0.00,0.00,633.40,0.70,0.64,0.64,0.69,0.63,0.63,both at the same time
2016-12-01 15:30,svm_gridsearch_run_45,0.00,0.00,620.26,0.74,0.64,0.64,0.72,0.63,0.63,both at the same time
2016-12-01 15:41,svm_gridsearch_run_46,0.00,0.00,621.43,0.72,0.63,0.63,0.72,0.63,0.63,both at the same time
2016-12-01 15:51,svm_gridsearch_run_47,0.00,0.00,617.10,0.74,0.57,0.57,0.74,0.57,0.57,both at the same time
2016-12-01 16:02,svm_gridsearch_run_48,0.00,0.00,621.90,0.74,0.67,0.67,0.74,0.67,0.67,both at the same time
2016-12-01 16:12,svm_gridsearch_run_49,0.00,0.00,619.91,0.75,0.64,0.64,0.74,0.64,0.64,both at the same time
2016-12-01 16:23,svm_gridsearch_run_50,0.00,0.00,629.58,0.73,0.64,0.64,0.73,0.64,0.64,both at the same time
2016-12-01 16:33,svm_gridsearch_run_51,0.00,0.00,617.06,0.72,0.61,0.61,0.72,0.60,0.60,both at the same time
2016-12-01 16:43,svm_gridsearch_run_52,0.00,0.00,621.28,0.73,0.59,0.59,0.70,0.59,0.59,both at the same time
2016-12-01 16:54,svm_gridsearch_run_53,0.00,0.00,619.48,0.71,0.61,0.61,0.69,0.61,0.61,both at the same time
2016-12-01 17:04,svm_gridsearch_run_54,0.00,0.00,623.12,0.74,0.64,0.64,0.73,0.64,0.64,both at the same time
2016-12-01 17:15,svm_gridsearch_run_55,0.00,0.00,617.79,0.72,0.64,0.64,0.72,0.64,0.64,both at the same time
2016-12-01 17:25,svm_gridsearch_run_56,0.00,0.00,629.00,0.74,0.65,0.65,0.75,0.65,0.65,both at the same time
2016-12-01 17:35,svm_gridsearch_run_57,0.00,0.00,617.34,0.75,0.63,0.63,0.75,0.63,0.63,both at the same time
2016-12-01 17:46,svm_gridsearch_run_58,0.00,0.00,621.47,0.72,0.63,0.63,0.71,0.63,0.63,both at the same time
2016-12-01 17:56,svm_gridsearch_run_59,0.00,0.00,619.24,0.77,0.63,0.63,0.76,0.63,0.63,both at the same time
2016-12-01 18:07,svm_gridsearch_run_60,0.00,0.00,619.73,0.71,0.60,0.60,0.71,0.60,0.60,both at the same time
