record_time	model	dur_train_activity	dur_train_subj	dur_train_both	precision_train	recall_train	accuracy_train	precision_test	recall_test	accuracy_test	method
1/12/16 19:39	svm_sgd_run_53	14.36	10.94	0	0.5	0.49	0.49	0.5	0.49	0.49	subject then activity
1/12/16 19:40	svm_sgd_run_54	14.56	11	0	0.5	0.47	0.47	0.5	0.47	0.47	subject then activity
1/12/16 19:40	svm_sgd_run_55	14.42	11.07	0	0.51	0.48	0.48	0.51	0.48	0.48	subject then activity
1/12/16 19:41	svm_sgd_run_56	14.4	10.96	0	0.49	0.46	0.46	0.49	0.46	0.46	subject then activity
1/12/16 19:41	svm_sgd_run_57	14.1	10.89	0	0.52	0.5	0.5	0.52	0.5	0.5	subject then activity
1/12/16 19:42	svm_sgd_run_58	14.33	11.1	0	0.49	0.48	0.48	0.49	0.48	0.48	subject then activity
1/12/16 19:42	svm_sgd_run_59	14.36	11.2	0	0.5	0.46	0.46	0.5	0.47	0.47	subject then activity
1/12/16 19:43	svm_sgd_run_60	14.21	10.9	0	0.54	0.5	0.5	0.54	0.5	0.5	subject then activity
1/12/16 19:43	svm_sgd_run_61	14.14	10.82	0	0.53	0.5	0.5	0.52	0.5	0.5	subject then activity
1/12/16 19:44	svm_sgd_run_62	14.18	11.12	0	0.51	0.49	0.49	0.5	0.49	0.49	subject then activity
1/12/16 19:44	svm_sgd_run_63	14.6	11.46	0	0.46	0.47	0.47	0.46	0.47	0.47	subject then activity
1/12/16 19:45	svm_sgd_run_64	14.26	10.92	0	0.5	0.48	0.48	0.49	0.48	0.48	subject then activity
1/12/16 19:45	svm_sgd_run_65	14.2	10.86	0	0.52	0.48	0.48	0.52	0.48	0.48	subject then activity
1/12/16 19:46	svm_sgd_run_66	14.21	11.05	0	0.51	0.5	0.5	0.51	0.5	0.5	subject then activity
1/12/16 19:46	svm_sgd_run_67	14.25	11.01	0	0.51	0.48	0.48	0.51	0.48	0.48	subject then activity
1/12/16 19:47	svm_sgd_run_68	14.24	10.9	0	0.51	0.49	0.49	0.51	0.49	0.49	subject then activity
1/12/16 19:47	svm_sgd_run_69	14.44	11.24	0	0.52	0.48	0.48	0.52	0.48	0.48	subject then activity
1/12/16 19:48	svm_sgd_run_70	14.34	11.29	0	0.48	0.47	0.47	0.47	0.47	0.47	subject then activity
1/12/16 19:48	svm_sgd_run_71	14.06	10.77	0	0.52	0.49	0.49	0.52	0.49	0.49	subject then activity
1/12/16 19:49	svm_sgd_run_72	14.79	10.97	0	0.49	0.47	0.47	0.49	0.47	0.47	subject then activity
1/12/16 19:49	svm_sgd_run_73	14.24	11.25	0	0.49	0.46	0.46	0.49	0.46	0.46	subject then activity
1/12/16 19:50	svm_sgd_run_74	14.24	10.95	0	0.49	0.47	0.47	0.49	0.47	0.47	subject then activity
1/12/16 19:50	svm_sgd_run_75	14.59	10.98	0	0.52	0.48	0.48	0.51	0.48	0.48	subject then activity
1/12/16 19:50	svm_sgd_run_76	14.05	10.82	0	0.51	0.5	0.5	0.51	0.5	0.5	subject then activity
1/12/16 19:51	svm_sgd_run_77	14.45	11.09	0	0.52	0.49	0.49	0.52	0.49	0.49	subject then activity
1/12/16 19:51	svm_sgd_run_78	14.57	10.93	0	0.53	0.48	0.48	0.52	0.48	0.48	subject then activity
1/12/16 19:52	svm_sgd_run_79	14.31	10.97	0	0.5	0.49	0.49	0.5	0.49	0.49	subject then activity
1/12/16 19:52	svm_sgd_run_80	14.6	10.98	0	0.5	0.49	0.49	0.5	0.49	0.49	subject then activity
1/12/16 19:53	svm_sgd_run_81	14.11	10.87	0	0.49	0.47	0.47	0.48	0.47	0.47	subject then activity
1/12/16 19:53	svm_sgd_run_82	14.35	10.99	0	0.53	0.49	0.49	0.53	0.49	0.49	subject then activity
1/12/16 19:54	svm_sgd_run_83	14.39	10.97	0	0.52	0.49	0.49	0.51	0.49	0.49	subject then activity
1/12/16 19:54	svm_sgd_run_84	14.46	11	0	0.5	0.46	0.46	0.5	0.46	0.46	subject then activity
1/12/16 19:55	svm_sgd_run_85	14.5	10.97	0	0.49	0.47	0.47	0.48	0.47	0.47	subject then activity
1/12/16 19:55	svm_sgd_run_86	14.11	10.81	0	0.48	0.45	0.45	0.47	0.45	0.45	subject then activity
1/12/16 19:56	svm_sgd_run_87	14.6	11.11	0	0.5	0.5	0.5	0.5	0.5	0.5	subject then activity
1/12/16 19:56	svm_sgd_run_88	14.45	11.06	0	0.5	0.47	0.47	0.5	0.47	0.47	subject then activity
1/12/16 19:57	svm_sgd_run_89	14.79	10.89	0	0.45	0.44	0.44	0.45	0.44	0.44	subject then activity
1/12/16 19:57	svm_sgd_run_90	14.17	11.01	0	0.47	0.46	0.46	0.47	0.47	0.47	subject then activity
1/12/16 19:58	svm_sgd_run_91	14.23	10.88	0	0.5	0.48	0.48	0.5	0.48	0.48	subject then activity
1/12/16 19:58	svm_sgd_run_92	15.23	10.95	0	0.48	0.46	0.46	0.47	0.46	0.46	subject then activity
1/12/16 19:59	svm_sgd_run_93	15.67	11.82	0	0.52	0.48	0.48	0.51	0.48	0.48	subject then activity
1/12/16 19:59	svm_sgd_run_94	18.46	12.08	0	0.52	0.49	0.49	0.52	0.49	0.49	subject then activity
1/12/16 20:00	svm_sgd_run_95	14.58	11.08	0	0.53	0.49	0.49	0.52	0.49	0.49	subject then activity
1/12/16 20:00	svm_sgd_run_96	14.52	11.14	0	0.49	0.48	0.48	0.49	0.48	0.48	subject then activity
1/12/16 20:01	svm_sgd_run_97	14.33	11.03	0	0.5	0.48	0.48	0.5	0.48	0.48	subject then activity
1/12/16 20:01	svm_sgd_run_98	15.22	11.11	0	0.54	0.49	0.49	0.54	0.49	0.49	subject then activity
1/12/16 20:02	svm_sgd_run_99	15	11.79	0	0.51	0.48	0.48	0.51	0.48	0.48	subject then activity
1/12/16 20:02	svm_sgd_run_100	14.84	11.4	0	0.5	0.48	0.48	0.5	0.48	0.48	subject then activity
1/12/16 20:04	svm_sgd_run_1	15.21	11.21	0	0.52	0.5	0.5	0.52	0.5	0.5	activity then subject
1/12/16 20:05	svm_sgd_run_2	15.28	11.42	0	0.49	0.45	0.45	0.48	0.45	0.45	activity then subject
1/12/16 20:05	svm_sgd_run_3	15.29	10.8	0	0.52	0.5	0.5	0.52	0.5	0.5	activity then subject
1/12/16 20:06	svm_sgd_run_4	14.81	11.18	0	0.47	0.49	0.49	0.46	0.49	0.49	activity then subject
1/12/16 20:06	svm_sgd_run_5	15.06	11.14	0	0.5	0.48	0.48	0.5	0.48	0.48	activity then subject
1/12/16 20:07	svm_sgd_run_6	15.45	11.37	0	0.52	0.49	0.49	0.52	0.49	0.49	activity then subject
1/12/16 20:07	svm_sgd_run_7	14.79	11.05	0	0.52	0.49	0.49	0.51	0.49	0.49	activity then subject
1/12/16 20:08	svm_sgd_run_8	14.9	11.26	0	0.52	0.49	0.49	0.52	0.49	0.49	activity then subject
1/12/16 20:08	svm_sgd_run_9	14.81	11.48	0	0.51	0.49	0.49	0.51	0.49	0.49	activity then subject
1/12/16 20:09	svm_sgd_run_10	14.7	11.02	0	0.46	0.44	0.44	0.45	0.44	0.44	activity then subject
1/12/16 20:09	svm_sgd_run_11	15	11.3	0	0.51	0.47	0.47	0.5	0.47	0.47	activity then subject
1/12/16 20:10	svm_sgd_run_12	14.88	11.11	0	0.49	0.47	0.47	0.48	0.47	0.47	activity then subject
1/12/16 20:10	svm_sgd_run_13	15.72	10.99	0	0.5	0.48	0.48	0.49	0.48	0.48	activity then subject
1/12/16 20:11	svm_sgd_run_14	15.04	11.28	0	0.53	0.49	0.49	0.53	0.5	0.5	activity then subject
1/12/16 20:11	svm_sgd_run_15	15.14	11.06	0	0.52	0.49	0.49	0.51	0.49	0.49	activity then subject
1/12/16 20:12	svm_sgd_run_16	15.03	11.21	0	0.5	0.5	0.5	0.5	0.5	0.5	activity then subject
1/12/16 20:12	svm_sgd_run_17	15.74	10.96	0	0.52	0.5	0.5	0.52	0.5	0.5	activity then subject
1/12/16 20:13	svm_sgd_run_18	15.46	11.14	0	0.51	0.48	0.48	0.51	0.48	0.48	activity then subject
1/12/16 20:13	svm_sgd_run_19	14.86	11.25	0	0.55	0.53	0.53	0.54	0.53	0.53	activity then subject
1/12/16 20:14	svm_sgd_run_20	15.02	10.92	0	0.47	0.48	0.48	0.47	0.48	0.48	activity then subject
1/12/16 20:14	svm_sgd_run_21	14.73	11.2	0	0.49	0.45	0.45	0.48	0.45	0.45	activity then subject
1/12/16 20:15	svm_sgd_run_22	14.96	10.92	0	0.51	0.49	0.49	0.51	0.49	0.49	activity then subject
1/12/16 20:15	svm_sgd_run_23	14.69	11.33	0	0.53	0.49	0.49	0.52	0.49	0.49	activity then subject
1/12/16 20:16	svm_sgd_run_24	14.93	10.83	0	0.52	0.48	0.48	0.51	0.48	0.48	activity then subject
1/12/16 20:16	svm_sgd_run_25	14.67	11.4	0	0.51	0.49	0.49	0.5	0.49	0.49	activity then subject
1/12/16 20:17	svm_sgd_run_26	15.16	10.98	0	0.47	0.47	0.47	0.47	0.47	0.47	activity then subject
1/12/16 20:17	svm_sgd_run_27	14.66	11	0	0.49	0.46	0.46	0.48	0.46	0.46	activity then subject
1/12/16 20:18	svm_sgd_run_28	15.19	11.09	0	0.52	0.49	0.49	0.51	0.49	0.49	activity then subject
1/12/16 20:18	svm_sgd_run_29	14.68	11.31	0	0.47	0.48	0.48	0.46	0.48	0.48	activity then subject
1/12/16 20:19	svm_sgd_run_30	15.02	10.86	0	0.47	0.44	0.44	0.47	0.44	0.44	activity then subject
1/12/16 20:19	svm_sgd_run_31	14.69	11.37	0	0.5	0.47	0.47	0.49	0.47	0.47	activity then subject
1/12/16 20:20	svm_sgd_run_32	15.17	11.11	0	0.52	0.51	0.51	0.52	0.51	0.51	activity then subject
1/12/16 20:20	svm_sgd_run_33	14.81	11.23	0	0.45	0.45	0.45	0.44	0.45	0.45	activity then subject
1/12/16 20:21	svm_sgd_run_34	15.09	11.09	0	0.55	0.51	0.51	0.54	0.51	0.51	activity then subject
1/12/16 20:21	svm_sgd_run_35	15.17	11.06	0	0.5	0.47	0.47	0.49	0.47	0.47	activity then subject
1/12/16 20:22	svm_sgd_run_36	14.9	11.2	0	0.52	0.5	0.5	0.51	0.5	0.5	activity then subject
1/12/16 20:22	svm_sgd_run_37	15.08	11.38	0	0.51	0.49	0.49	0.5	0.49	0.49	activity then subject
1/12/16 20:23	svm_sgd_run_38	14.8	11.88	0	0.52	0.49	0.49	0.51	0.49	0.49	activity then subject
1/12/16 20:23	svm_sgd_run_39	15.6	11.08	0	0.46	0.47	0.47	0.45	0.47	0.47	activity then subject
1/12/16 20:24	svm_sgd_run_40	15.01	11.96	0	0.51	0.48	0.48	0.51	0.48	0.48	activity then subject
1/12/16 20:24	svm_sgd_run_41	15.45	11.11	0	0.52	0.49	0.49	0.51	0.49	0.49	activity then subject
1/12/16 20:25	svm_sgd_run_42	14.88	11.06	0	0.5	0.48	0.48	0.5	0.49	0.49	activity then subject
1/12/16 20:25	svm_sgd_run_43	15.39	10.89	0	0.53	0.5	0.5	0.52	0.5	0.5	activity then subject
1/12/16 20:26	svm_sgd_run_44	14.65	11.03	0	0.53	0.5	0.5	0.52	0.5	0.5	activity then subject
1/12/16 20:26	svm_sgd_run_45	14.94	10.97	0	0.54	0.5	0.5	0.53	0.5	0.5	activity then subject
1/12/16 20:27	svm_sgd_run_46	15.09	11.15	0	0.53	0.5	0.5	0.53	0.5	0.5	activity then subject
1/12/16 20:27	svm_sgd_run_47	14.9	11.1	0	0.52	0.49	0.49	0.51	0.49	0.49	activity then subject
1/12/16 20:28	svm_sgd_run_48	14.92	12.05	0	0.47	0.46	0.46	0.46	0.46	0.46	activity then subject
1/12/16 20:28	svm_sgd_run_49	15.07	11.3	0	0.47	0.45	0.45	0.46	0.46	0.46	activity then subject
1/12/16 20:29	svm_sgd_run_50	15.4	11.65	0	0.53	0.49	0.49	0.52	0.5	0.5	activity then subject
1/12/16 20:29	svm_sgd_run_51	16.11	11.7	0	0.52	0.5	0.5	0.52	0.5	0.5	activity then subject
1/12/16 20:30	svm_sgd_run_52	15.83	11.84	0	0.5	0.45	0.45	0.49	0.45	0.45	activity then subject
1/12/16 20:30	svm_sgd_run_53	15.67	11.66	0	0.47	0.44	0.44	0.47	0.45	0.45	activity then subject
1/12/16 20:31	svm_sgd_run_54	15.61	11.45	0	0.52	0.48	0.48	0.51	0.49	0.49	activity then subject
1/12/16 20:31	svm_sgd_run_55	15.63	11.66	0	0.48	0.46	0.46	0.48	0.46	0.46	activity then subject
1/12/16 20:32	svm_sgd_run_56	15.94	11.36	0	0.52	0.5	0.5	0.51	0.5	0.5	activity then subject
1/12/16 20:32	svm_sgd_run_57	15.71	11.31	0	0.5	0.49	0.49	0.49	0.49	0.49	activity then subject
1/12/16 20:33	svm_sgd_run_58	15.06	11.24	0	0.44	0.42	0.42	0.44	0.43	0.43	activity then subject
1/12/16 20:33	svm_sgd_run_59	14.89	11.08	0	0.5	0.47	0.47	0.49	0.47	0.47	activity then subject
1/12/16 20:34	svm_sgd_run_60	14.8	11.18	0	0.53	0.49	0.49	0.52	0.49	0.49	activity then subject
1/12/16 20:34	svm_sgd_run_61	15.12	11.13	0	0.51	0.49	0.49	0.49	0.49	0.49	activity then subject
1/12/16 20:35	svm_sgd_run_62	14.68	11.12	0	0.51	0.48	0.48	0.5	0.48	0.48	activity then subject
1/12/16 20:35	svm_sgd_run_63	15	11.07	0	0.48	0.47	0.47	0.47	0.47	0.47	activity then subject
1/12/16 20:36	svm_sgd_run_64	14.56	11.13	0	0.5	0.48	0.48	0.49	0.48	0.48	activity then subject
1/12/16 20:36	svm_sgd_run_65	15.05	10.95	0	0.48	0.45	0.45	0.48	0.45	0.45	activity then subject
1/12/16 20:37	svm_sgd_run_66	14.94	11.25	0	0.52	0.51	0.51	0.52	0.51	0.51	activity then subject
1/12/16 20:37	svm_sgd_run_67	15.11	11.11	0	0.52	0.48	0.48	0.51	0.48	0.48	activity then subject
1/12/16 20:38	svm_sgd_run_68	14.58	11.01	0	0.5	0.47	0.47	0.49	0.47	0.47	activity then subject
1/12/16 20:38	svm_sgd_run_69	15.03	10.94	0	0.49	0.45	0.45	0.49	0.45	0.45	activity then subject
1/12/16 20:39	svm_sgd_run_70	14.62	11.19	0	0.52	0.51	0.51	0.51	0.51	0.51	activity then subject
1/12/16 20:39	svm_sgd_run_71	15.01	10.86	0	0.49	0.47	0.47	0.48	0.47	0.47	activity then subject
1/12/16 20:40	svm_sgd_run_72	15.42	11.12	0	0.49	0.46	0.46	0.48	0.46	0.46	activity then subject
1/12/16 20:40	svm_sgd_run_73	15.34	10.92	0	0.53	0.52	0.52	0.53	0.52	0.52	activity then subject
1/12/16 20:41	svm_sgd_run_74	15.05	11.08	0	0.52	0.48	0.48	0.51	0.48	0.48	activity then subject
1/12/16 20:41	svm_sgd_run_75	15.21	11.1	0	0.53	0.47	0.47	0.54	0.47	0.47	activity then subject
1/12/16 20:42	svm_sgd_run_76	14.83	11.28	0	0.52	0.47	0.47	0.52	0.47	0.47	activity then subject
1/12/16 20:42	svm_sgd_run_77	15.66	11.33	0	0.46	0.46	0.46	0.45	0.46	0.46	activity then subject
1/12/16 20:43	svm_sgd_run_78	14.7	11.31	0	0.53	0.48	0.48	0.53	0.48	0.48	activity then subject
1/12/16 20:43	svm_sgd_run_79	15.58	11.6	0	0.47	0.45	0.45	0.46	0.45	0.45	activity then subject
1/12/16 20:44	svm_sgd_run_80	15.01	11.36	0	0.48	0.44	0.44	0.48	0.44	0.44	activity then subject
1/12/16 20:44	svm_sgd_run_81	15.63	11.58	0	0.53	0.5	0.5	0.53	0.5	0.5	activity then subject
1/12/16 20:45	svm_sgd_run_82	15.35	12.21	0	0.53	0.48	0.48	0.52	0.49	0.49	activity then subject
1/12/16 20:45	svm_sgd_run_83	15.96	11.9	0	0.54	0.5	0.5	0.53	0.51	0.51	activity then subject
1/12/16 20:46	svm_sgd_run_84	16.02	11.67	0	0.5	0.48	0.48	0.49	0.48	0.48	activity then subject
1/12/16 20:46	svm_sgd_run_85	15.99	11.28	0	0.49	0.48	0.48	0.48	0.48	0.48	activity then subject
1/12/16 20:47	svm_sgd_run_86	15.01	11.01	0	0.49	0.45	0.45	0.48	0.45	0.45	activity then subject
1/12/16 20:47	svm_sgd_run_87	15.84	11.13	0	0.48	0.46	0.46	0.47	0.46	0.46	activity then subject
1/12/16 20:48	svm_sgd_run_88	15.44	11.27	0	0.47	0.46	0.46	0.46	0.46	0.46	activity then subject
1/12/16 20:48	svm_sgd_run_89	14.49	11.04	0	0.53	0.5	0.5	0.52	0.51	0.51	activity then subject
1/12/16 20:49	svm_sgd_run_90	14.7	10.78	0	0.53	0.51	0.51	0.52	0.51	0.51	activity then subject
1/12/16 20:49	svm_sgd_run_91	15.03	11.37	0	0.52	0.5	0.5	0.51	0.5	0.5	activity then subject
1/12/16 20:50	svm_sgd_run_92	14.95	12.61	0	0.49	0.47	0.47	0.49	0.47	0.47	activity then subject
1/12/16 20:51	svm_sgd_run_93	16.44	12.08	0	0.53	0.5	0.5	0.52	0.51	0.51	activity then subject
1/12/16 20:51	svm_sgd_run_94	16.15	11.86	0	0.51	0.47	0.47	0.49	0.47	0.47	activity then subject
1/12/16 20:52	svm_sgd_run_95	16.44	11.95	0	0.53	0.5	0.5	0.52	0.5	0.5	activity then subject
1/12/16 20:52	svm_sgd_run_96	16.28	11.21	0	0.51	0.48	0.48	0.5	0.49	0.49	activity then subject
1/12/16 20:53	svm_sgd_run_97	15.79	11.83	0	0.53	0.5	0.5	0.53	0.5	0.5	activity then subject
1/12/16 20:53	svm_sgd_run_98	15.15	10.65	0	0.51	0.49	0.49	0.5	0.49	0.49	activity then subject
1/12/16 20:54	svm_sgd_run_99	14.64	11.66	0	0.49	0.47	0.47	0.48	0.47	0.47	activity then subject
1/12/16 20:54	svm_sgd_run_100	16.05	11.69	0	0.51	0.48	0.48	0.5	0.48	0.48	activity then subject
1/12/16 20:59	svm_sgd_run_1_fast	0	0	115.1	0.71	0.65	0.65	0.7	0.65	0.65	both at the same time
1/12/16 21:01	svm_sgd_run_2_fast	0	0	113.77	0.74	0.65	0.65	0.73	0.65	0.65	both at the same time
1/12/16 21:03	svm_sgd_run_3_fast	0	0	114.79	0.72	0.64	0.64	0.72	0.64	0.64	both at the same time
1/12/16 21:05	svm_sgd_run_4_fast	0	0	113.94	0.69	0.64	0.64	0.71	0.64	0.64	both at the same time
1/12/16 21:07	svm_sgd_run_5_fast	0	0	108.46	0.72	0.67	0.67	0.72	0.67	0.67	both at the same time
1/12/16 21:09	svm_sgd_run_6_fast	0	0	109.61	0.69	0.62	0.62	0.69	0.62	0.62	both at the same time
1/12/16 21:10	svm_sgd_run_7_fast	0	0	111.05	0.72	0.62	0.62	0.71	0.62	0.62	both at the same time
1/12/16 21:12	svm_sgd_run_8_fast	0	0	113.98	0.71	0.64	0.64	0.71	0.64	0.64	both at the same time
1/12/16 21:14	svm_sgd_run_9_fast	0	0	114.13	0.72	0.64	0.64	0.72	0.64	0.64	both at the same time
1/12/16 21:16	svm_sgd_run_10_fast	0	0	114.11	0.7	0.67	0.67	0.7	0.67	0.67	both at the same time
